ID, AllowPush, AdOptedIn, NumCampaignMatch, Carrier, AppVersion, AllowiBeacon, AllowGeo, AllowFeaturePush, ScreenHeight, AllowBT, HaveUniqueGlobalID, NumCrash, DailyUsage, "continent", LastUpdateDays, DeviceModel, BlockPushTF, BlockPushSameday, BlockPushAfter, OS, OSVersion, RevokePushTF, RevokePushBefore, RevokePushSameday, RevokePushAfter, SignIn, UninstalledTF, UninstalledSameday, UninstalledAfter, ScreenWidth, EmailExist, EmailAddress, InstallDays, PushCount, Timezone, UserType, Questions, CorrectQuestion
2HKPH98LE5T6F5BL, 1, 0, 0, Globe, 1061241, 1, 1, 1, 568, 1, 1, 0, 1, AS, -1, iPhone 6 Plus, 0, 0, 0, ios, 902, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 1, 27, 0, 8, Paid, 140, 44
IIEMCIWRCBR7MWF2, 0, 0, 0, AT&T, 1071256, 1, 1, 0, 667, None, 1, 0, 1, NA, 0, iPhone 6, 0, 0, 0, ios, 910, 1, 1, 0, 0, 1, 0, 0, 0, 375, 1, 1, 42, 0, -7, Paid, 190, 53
C8NV61EADEKT8YV1, 1, 0, 0, Other, 1071256, 1, 1, 0, 480, 0, 1, 0, 1, NA, -1, iPad 2, 0, 0, 0, ios, 901, 1, 0, 0, 29, 1, 0, 0, 0, 320, 1, 1, 29, 0, -4, Paid, 977, 72
ERWGSDP7LHRHG5O7, 1, 0, 0, T-Mobile, 1061241, 1, 1, 1, 568, 1, 1, 0, 0, NA, -1, iPhone 5s, 1, 0, 67, ios, 820, 0, 0, 0, 0, 1, 1, 0, 67, 320, 1, 1, 1, 0, -7, Paid, 630, 14
LCZGYVJT0CGXNPHR, 1, 0, 0, Verizon, 1061241, 1, 1, 1, 568, 1, 1, 0, 0, NA, -1, iPhone 5s, 0, 0, 0, ios, 841, 1, 0, 0, 1, 1, 0, 0, 0, 320, 1, 1, 7, 0, -5, Paid, 504, 55
JJYX7WM46QF0CGWC, 1, 0, 0, Other, 1061241, 1, 1, 1, 480, 0, 1, 0, 1, EU, -1, iPad mini 2G, 0, 0, 0, ios, 840, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 1, 19, 0, 1, Paid, 1939, 51
1QQFVUPW5QK4E5DJ, 1, 0, 0, o2-de, 1061241, 1, 1, 1, 480, None, 1, 0, 0, EU, -1, iPhone 4S, 0, 0, 0, ios, 900, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 0, 15, 0, 2, Paid, 1622, 50
HKBLR01EIFFFYV1V, 1, 0, 0, Rogers, 1071256, 1, 1, 0, 667, 0, 1, 0, 1, NA, -1, iPhone 6, 0, 0, 0, ios, 840, 1, 0, 0, 24, 1, 0, 0, 0, 375, 1, 1, 24, 0, -4, Paid, 120, 43
73WJAX8JM2B8O3JB, 0, 0, 0, Koodo, 1061241, 1, 1, 1, 568, 0, 1, 0, 0, NA, -1, iPhone 6, 0, 0, 0, ios, 841, 1, 1, 0, 0, 1, 0, 0, 0, 320, 1, 1, -1, 0, -4, Paid, 99, 41
CTNCM8N7VI7G50SD, 1, 0, 0, Other, 1071256, 1, 1, 1, 480, None, 1, 0, 1, AS, 0, iPad mini 1G, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 1, 63, 0, 3, Paid, 1230, 56
LAPIIA8Y3H9S74SR, 1, 0, 0, Other, 1061241, 1, 1, 1, 480, None, 1, 0, 0, AS, -1, Unknown iPad5, 0, 0, 0, ios, 900, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 1, 15, 0, 8, Paid, 140, 44
ANTIOQZYZPYV82BE, 1, 0, 0, Verizon, 1071256, 1, 1, 1, 736, 0, 1, 0, 1, NA, 0, iPhone 6 Plus, 0, 0, 0, ios, 910, 1, 0, 0, 24, 1, 0, 0, 0, 414, 1, 1, 73, 0, -5, Paid, 977, 72
BY76R95KFGBHT3E4, 1, 0, 0, T-Mobile, 1061241, 1, 1, 1, 568, 1, 1, 0, 0, NA, -1, iPhone 5s, 1, 0, 75, ios, 820, 0, 0, 0, 0, 1, 1, 0, 75, 320, 1, 1, 5, 0, -7, Paid, 630, 14
C7TVNJU4PP616KQ9, 1, 0, 0, TELIA, 1061241, 1, 1, 1, 480, 0, 1, 0, 0, EU, -1, iPhone 4S, 0, 0, 0, ios, 840, 1, 0, 0, 9, 1, 0, 0, 0, 320, 1, 1, 9, 0, 2, Paid, 1642, 70
2CHE9XAWSYW4CJ3X, 1, 0, 0, Other, 1071256, 1, 1, 1, 480, None, 1, 0, 1, NA, -1, Unknown iPad5, 0, 0, 0, ios, 810, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 1, 47, 0, -4, Paid, 866, 25
BTUVV7BEK5T0W22V, 1, 0, 0, Vodafone India, 1061241, 1, 1, 1, 568, None, 1, 0, 0, AS, -1, iPhone 5, 1, 0, 28, ios, 812, 0, 0, 0, 0, 1, 1, 0, 28, 320, 1, 0, 1, 0, 5, Paid, 568, 27
7ZNU6NM7MSA8F35F, 1, 0, 0, Vodafone India, 1061241, 1, 1, 1, 568, None, 1, 0, 0, AS, -1, iPhone 5, 1, 0, 32, ios, 812, 0, 0, 0, 0, 1, 1, 0, 32, 320, 1, 0, 0, 0, 2, Paid, 568, 27
RJP533ZZG3HK45D, 1, 0, 0, Vodafone India, 1061241, 1, 1, 1, 568, 0, 1, 0, 0, AS, -1, iPhone 5, 1, 0, 32, ios, 812, 0, 0, 0, 0, 1, 1, 0, 32, 320, 1, 0, -1, 0, 2, Paid, 568, 27
9HQ6P7CXAOJQ8RLS, 1, 0, 0, Vodafone India, 1061241, 1, 1, 1, 568, 0, 1, 0, 0, AS, -1, iPhone 6 Plus, 1, 0, 69, ios, 811, 0, 0, 0, 0, 1, 1, 0, 69, 320, 1, 0, 0, 0, 5, Paid, 568, 27
HPCIU8DK9PXQ1AAA, 1, 0, 0, Vodafone India, 1061240, 1, 1, 1, 568, 0, 1, 0, 0, AS, -1, iPhone 6, 1, 0, 17, ios, 830, 0, 0, 0, 0, 1, 1, 0, 17, 320, 1, 0, 2, 0, 5, Paid, 568, 27
L9YRAPVGW68TEPE, 1, 0, 0, Vodafone India, 1061240, 1, 1, 1, 568, 0, 1, 0, 0, AS, -1, iPhone 6, 0, 0, 0, ios, 830, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 0, 0, 0, -4, Paid, 911, 34
LJKUKQWKWNDSX9L1, 1, 0, 0, Vodafone India, 1061239, 1, 1, 1, 568, 0, 1, 0, 0, AS, -1, iPhone 5, 1, 0, 36, ios, 812, 0, 0, 0, 0, 1, 1, 0, 36, 320, 1, 0, 1, 0, 2, Paid, 568, 27
