ID, AllowPush, AdOptedIn, NumCampaignMatch, Carrier, AppVersion, AllowiBeacon, AllowGeo, AllowFeaturePush, ScreenHeight, AllowBT, HaveUniqueGlobalID, NumCrash, DailyUsage, "continent", LastUpdateDays, DeviceModel, BlockPushTF, BlockPushSameday, BlockPushAfter, OS, OSVersion, RevokePushTF, RevokePushBefore, RevokePushSameday, RevokePushAfter, SignIn, UninstalledTF, UninstalledSameday, UninstalledAfter, ScreenWidth, EmailExist, EmailAddress, InstallDays, PushCount, Timezone, UserType, Questions, CorrectQuestion
A068PS0G2M61U0E1, 1, 0, 0, O2, 1071256, 1, 1, 1, 568, 1, 1, 0, 1, EU, 0, iPhone 5s, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 1, 2, 0, 0, Paid, 630, 14
6W8DMQ1IUTFLA4Z8, 1, 0, 0, Rogers, 1071256, 1, 0, 1, 667, 0, 1, 0, 1, NA, 12, iPhone 6, 0, 0, 0, ios, 910, 1, 0, 0, 1, 1, 0, 0, 0, 375, 1, 1, 12, 0, -5, Paid, 441, 47
I2JGWZF3T50NNZIG, 1, 0, 1, Bell, 1071256, 1, 0, 1, 667, 0, 1, 0, 1, NA, 0, Unknown iPhone8, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 375, 1, 1, 0, 1, -5, Paid, 20, 10
5CTZS7QHHHHUWF1K, 1, 0, 0, Verizon, 1071256, 1, 0, 1, 480, 0, 1, 0, 1, NA, 15, iPad 4, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 1, 12, 0, -5, Paid, 2814, 51
6B7IDP1TRTDMQCOU, 1, 0, 0, Vodacom, 1071256, 1, 1, 1, 667, 1, 1, 0, 1, AF, 12, iPhone 6, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 375, 1, 1, 12, 0, 2, Paid, 300, 57
41LKWBJY0KN37D1Q, 1, 0, 0, dtac, 1071256, 1, 0, 1, 480, 0, 1, 0, 1, AS, 15, Unknown iPad2, 0, 0, 0, ios, 813, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 1, 15, 0, 7, Paid, 70, 54
EAJNY2NKQIF0W48D, 1, 0, 0, CSL, 1071256, 1, 1, 1, 736, 0, 1, 0, 1, AS, 14, iPhone 6 Plus, 0, 0, 0, ios, 910, 1, 0, 0, 3, 1, 0, 0, 0, 414, 1, 1, 12, 0, 8, Paid, 445, 13
UGW52NU8VARFKAN, 0, 0, 0, Verizon, 1071256, 1, 0, 1, 568, 0, 1, 0, 1, NA, 0, iPhone 5c, 0, 0, 0, ios, 910, 1, 1, 0, 0, 1, 0, 0, 0, 320, 1, 0, 3, 0, -5, Paid, 707, 49
FXHT5QTG87OYYJ8X, 1, 0, 0, Other, 1071256, 1, 0, 1, 480, 0, 1, 0, 1, OC, 17, iPad 3, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 1, 16, 0, 11, Paid, 140, 60
3QJC9BNZ18NV2ZDV, 1, 0, 1, Other, 1071256, 1, 0, 1, 480, 0, 1, 0, 1, NA, 13, iPad 4, 0, 0, 0, ios, 840, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 1, 1, 1, -8, Paid, 830, 51
35WU47KE6BVAVU7M, 1, 0, 1, AT&T, 1071256, 1, 1, 1, 736, None, 1, 0, 1, NA, 18, iPhone 6 Plus, 0, 0, 0, ios, 902, 0, 0, 0, 0, 1, 0, 0, 0, 414, 1, 1, 17, 1, -5, Paid, 621, 71
E66V6MNS9DED5D95, 1, 0, 0, Sprint, 1071256, 1, 1, 1, 736, None, 1, 0, 0, NA, 13, iPhone 6 Plus, 0, 0, 0, ios, 840, 0, 0, 0, 0, 1, 0, 0, 0, 414, 1, 1, 13, 0, -8, Paid, 830, 51
64T0621O2PSY9OHB, 0, 0, 0, Rogers, 1071256, 1, 0, 1, 480, 0, 1, 0, 1, NA, 0, iPhone 4S, 0, 0, 0, ios, 830, 1, 1, 0, 0, 1, 0, 0, 0, 320, 1, 1, 9, 0, -8, Paid, 230, 59
LS9MHL70UO12IJLZ, 1, 0, 0, OPTUS, 1071256, 1, 0, 1, 568, 0, 1, 0, 1, OC, 20, iPhone 5, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 0, 20, 0, 11, Paid, 3843, 41
E4433M0MX00J4TTA, 1, 0, 0, Virgin Mobile, 1071256, 1, 1, 1, 667, 1, 1, 0, 1, OC, 18, iPhone 6, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 375, 1, 1, 12, 0, 11, Paid, 140, 60
DHJOTJD200URYY0J, 1, 0, 0, Verizon, 1071256, 1, 0, 1, 667, 0, 1, 0, 1, NA, 21, Unknown iPhone8, 0, 0, 0, ios, 920, 1, 0, 0, 2, 1, 0, 0, 0, 375, 1, 1, 21, 0, -5, Paid, 552, 63
5JECVVXDUFUGTTIW, 1, 0, 2, Rogers, 1071256, 1, 0, 1, 568, 0, 1, 0, 1, NA, 0, iPhone 5, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 1, 8, 2, -5, Paid, 441, 47
EWWB4XO7HKQMKLER, 1, 0, 0, Virgin Mobile, 1071256, 1, 1, 1, 667, 1, 1, 0, 1, OC, 0, iPhone 6, 0, 0, 0, ios, 812, 0, 0, 0, 0, 1, 0, 0, 0, 375, 1, 1, 0, 0, 11, Paid, 140, 60
5QJ8JKD4SE9ZQMWK, 0, 0, 0, OPTUS, 1071256, 1, 1, 1, 736, 1, 1, 0, 1, OC, 22, iPhone 6 Plus, 0, 0, 0, ios, 830, 1, 1, 0, 0, 1, 0, 0, 0, 414, 1, 1, 22, 0, 11, Paid, 1598, 54
